date,r5_18,r5_19,r5_20,r7_18,r7_19,r7_20,r14_18,r14_19,r14_20,18,19,20
23-02-2020,,97.46763897,49.09993374,,104.5175269,46.80388351,,105.2341844,56.21816105,,118.8677582,
24-02-2020,,107.8877646,48.81189413,,107.3760635,49.30473337,,104.6253871,59.61031971,,104.7010002,
25-02-2020,,118.2790839,52.63035821,,107.5400865,47.50137046,,113.7464485,61.15875861,,150.6689631,42.70568061
26-02-2020,,142.976023,46.68304117,,129.9810653,43.77946899,,117.8619796,62.79738652,,197.6663704,34.78840708
27-02-2020,,156.9612717,38.74704385,,147.2808288,46.68304117,,129.6680722,65.50252791,,212.9022665,
28-02-2020,,154.4224107,38.74704385,,148.4966352,46.68304117,,128.3758091,48.91931083,,106.1734531,
29-02-2020,,166.8527633,38.74704385,,148.4966352,38.74704385,,127.3467559,44.50192932,,,
01-03-2020,,135.058701,34.0447896,,132.6007945,36.93175327,,118.5591607,43.10183467,,23.49271392,33.30117212
02-03-2020,,106.2835858,33.30117212,,128.9116128,36.93175327,,118.1438382,44.00202761,,82.56590982,
03-03-2020,,70.74402561,44.71771359,,124.5601427,41.40794475,,115.2764757,44.8899023,,,56.13425505
04-03-2020,,48.77054261,53.64110452,,93.07746948,53.64110452,,113.2067036,48.00588422,,40.25300409,71.48788639
05-03-2020,,47.10481489,59.84214118,,58.91854253,59.84214118,,107.1161532,54.20252689,,42.10763175,78.44525115
06-03-2020,,54.97551522,58.77859145,,47.10481489,53.68310758,,107.9399071,51.05808268,,,29.04697319
07-03-2020,,37.96182961,67.16112503,,43.98882251,61.51779955,,100.993084,55.82511062,,31.52485299,100.6912594
08-03-2020,,37.97182256,62.22637974,,46.89064001,61.21102562,,93.64163338,53.11793484,,38.0018014,31.46052857
09-03-2020,,39.40382199,55.60826823,,39.57365841,57.95192609,,88.30345171,51.64587424,,45.98100184,38.39732887
10-03-2020,,38.50255208,49.8990225,,39.57365841,58.25487126,,82.06690058,52.63922909,,,
11-03-2020,,31.85026551,58.77051687,,33.90173876,57.0957153,,63.48960412,55.94417837,,11.8934058,64.53295064
12-03-2020,,31.95873635,41.35831687,,31.85026551,49.19525001,,46.88819719,53.45400648,,,31.0424594
13-03-2020,,25.92199762,40.44014358,,29.45852945,48.98539371,,37.30132298,51.1207182,,19.89158522,27.7878354
14-03-2020,,27.34500306,51.99726022,,33.20356249,46.30781639,,38.5961925,53.91280797,,50.25001817,84.62579543
15-03-2020,,35.98598973,51.99726022,,37.98499215,49.27727395,,42.43781608,55.78659304,,61.90894971,
