,r5_18,r5_19,r5_20,r7_18,r7_19,r7_20,r14_18,r14_19,r14_20,18,19,20
2020-01-01,,,,,,,,,,,27.9621514888252,58.64108418164664
2020-01-02,,,,,,,,,,,,
2020-01-03,,,,,,,,,,,37.996981430747205,38.93292466374134
2020-01-04,,,,,,,,,,,,28.238048750659704
2020-01-05,,32.9795664597862,38.25096917822742,,,,,,,,,27.19181911686201
2020-01-06,,25.465300640472375,31.454264177087683,,,,,,,,12.933619850197546,
2020-01-07,,25.465300640472375,31.454264177087683,,26.297584256589982,38.25096917822742,,,,,,
2020-01-08,,17.055589777573434,39.3282190700465,,24.03605366196469,39.22939546847021,,,,,21.17755970494932,62.55478934261779
2020-01-09,,17.055589777573434,42.27550560473579,,24.03605366196469,38.79949804572168,,,,,,37.07990835472756
2020-01-10,,17.055589777573434,52.00360316280353,,17.055589777573434,42.28813547118646,,,,,,56.37611179106524
2020-01-11,,11.034891716925129,48.05925716148831,,11.667801094682602,43.88576955256305,,,,,0.8922237289009364,36.22621915754266
2020-01-12,,11.034891716925129,40.70846920451949,,11.667801094682602,40.70846920451949,,,,,,11.305317376644219
2020-01-13,,4.844394405890027,35.246889169994915,,10.28878283890979,40.70846920451949,,,,,8.796565082879118,
2020-01-14,,18.41658883449111,42.27010649079746,,19.106831552105664,44.785853943422524,,22.18858271117037,42.171900037344486,,45.56097769169328,65.1727776379377
2020-01-15,,18.41658883449111,33.82573562752018,,18.41658883449111,38.12649377597892,,21.2263212482279,38.56765445297544,,,22.59862833795614
2020-01-16,,30.30631856480618,33.02557445084602,,22.952794855829872,38.335810860229195,,23.41704862988765,38.56765445297544,,36.56141291984614,
2020-01-17,,36.50242655171636,37.39251273893273,,29.38038598715328,31.941814950197017,,25.859015641559036,37.11497521069174,,55.0907505124469,24.40613224090435
2020-01-18,,45.73771370799545,39.56398751887067,,36.50242655171636,33.912253490425385,,25.859015641559036,38.89901152149422,,,46.07841185868449
2020-01-19,,45.82608171614652,39.77633513850044,,36.50242655171636,44.8556236383879,,25.859015641559036,42.7820464214537,,,66.02216811645681
2020-01-20,,47.451137737016914,51.564770839698255,,46.97859772568601,49.00508155578114,,31.254391345639057,45.23389412338948,,50.701249778757706,69.75237114274735
2020-01-21,,52.8960001456023,54.461295809332526,,47.451137737016914,49.15085123076978,,31.254391345639057,46.968352587096156,,,66.04739568786958
2020-01-22,,30.3460229522713,71.66279138286896,,38.08605233420891,63.786681525874855,,29.65628226290128,50.95658765092688,,9.990796125784899,110.4136101085865
2020-01-23,,40.02054647048851,72.9606696846423,,43.78809748097811,62.18398464611433,,33.37044616840399,52.24724556866219,,59.36959350692294,52.56780336755123
2020-01-24,,40.02054647048851,74.69529507668867,,40.02054647048851,68.480293380316,,33.37044616840399,51.87189409389828,,,
2020-01-25,,34.68019481635392,76.34293638800243,,40.02054647048851,72.9606696846423,,38.01019223119014,53.43646158753385,,,
2020-01-26,,34.68019481635392,81.49070673806887,,40.02054647048851,74.69529507668867,,38.01019223119014,58.117699833188254,,,
2020-01-27,,39.4245259250588,19.454186274908857,,29.613282658634166,53.842344586568444,,39.536319839806644,50.93998676809606,,19.47945834319466,-13.659430817733513
2020-01-28,,39.70857987621127,-16.449411003754815,,37.194387346282596,32.520647867157024,,41.59013751374016,42.49876988532469,,59.93770140922787,-19.239391189776114
2020-01-29,,39.70857987621127,-16.98747903778058,,46.26225108644849,0.4013415635523714,,41.59013751374016,38.43254554094587,,,-18.063615105832113
2020-01-30,,41.50258389607517,-16.98747903778058,,41.50258389607517,-16.98747903778058,,42.80859165887686,38.43254554094587,,45.090591935802976,
2020-01-31,,41.50258389607517,-9.180779153361387,,41.50258389607517,-9.180779153361387,,40.761565183281846,37.41586436684504,,,14.239320499896195
2020-02-01,,71.39843994800923,-4.217172765144374,,58.41869454680559,-6.105624375662202,,50.533773942669704,33.42752265449004,,109.16702649899685,6.194994735134534
2020-02-02,,76.31604568372529,8.58704746813852,,61.673059360719684,0.2415613108407418,,53.553367026882995,30.02305481717991,,74.69051861637605,31.977489743355463
2020-02-03,,67.80446812699604,24.245708976528036,,66.23111478344241,9.946638268417319,,52.49942773663932,27.50492079567777,,42.269735456808306,44.57103092772595
2020-02-04,,64.56274010704571,23.116714159611202,,60.66831047279717,16.253325948703985,,50.2354557499018,22.760254716085203,,32.12367985600169,18.600734891943876
2020-02-05,,64.56274010704571,32.63981430897364,,60.66831047279717,29.573065340794074,,55.26603820291641,17.90437582989739,,,61.85482124670841
2020-02-06,,49.69464464306202,48.63182229250084,,64.56274010704571,37.656203813933566,,54.67981601662977,21.263098958419317,,,86.15503465277048
2020-02-07,,30.587196971187566,77.29062433969378,,55.12382720578711,60.6608008824227,,50.015860964645135,35.26386268759212,,17.368175600752704,175.2714999793202
2020-02-08,,23.16908539372739,73.86256530018946,,37.2935020508733,63.694478167432685,,46.682476493509874,34.61110210780981,,20.015400724427778,27.430735730204386
2020-02-09,,19.51774228927484,73.80709706695848,,26.589328436126902,61.743893022066025,,44.13119389842329,33.358201463038974,,21.169650542644032,18.32339372578888
2020-02-10,,18.556324726100453,76.795166022021,,21.2697957520807,64.60603670445603,,43.75045526776155,37.27633748643668,,15.672072036577287,
2020-02-11,,28.46162877632999,54.25727316707507,,28.46162877632999,60.83982476129653,,44.56496962456358,38.54657535500026,,68.08284497724814,-3.9965367670132053
2020-02-12,,28.56767685013093,11.54174880856349,,26.701093308567895,51.26558831105745,,42.14073747412666,40.41932682592576,,17.898415969757423,4.409402545273896
2020-02-13,,36.21470469930842,8.89490681421717,,31.20815711738894,39.71364382773222,,43.337096386355036,38.60579151260986,,58.2505399703152,16.843367752819113
2020-02-14,,49.65432011330872,30.85478337110763,,41.35095026194506,28.195543823403966,,47.08964898854592,45.67683608595252,,88.36772761264555,106.16289995335072
2020-02-15,,68.24165640793396,30.85478337110763,,54.007143516984456,28.34850544204388,,47.043126239438145,48.96698953185402,,108.60875350970355,
2020-02-16,,62.74425466047173,42.47189008381458,,56.782312902312015,30.85478337110763,,44.20190270806822,50.51148951262662,,40.59583623993692,
2020-02-17,,67.14226043312553,43.68791052220166,,60.24179473037618,26.295319468973133,,44.00346182275306,47.19207432469109,,39.888444833026455,8.057463860435162
2020-02-18,,59.208128197939644,51.25416686713374,,53.1699424185387,35.00305417989885,,42.87481173428507,49.0958381333885,,18.579878794385785,39.54213678761535
2020-02-19,,47.98662999883627,23.799800324025256,,55.221631082448866,42.65146708855508,,42.05830595604227,47.8199398220565,,32.260236617128626,
2020-02-20,,37.65224249477374,26.387724365495657,,55.0339562280311,46.331518262459426,,43.121056672710026,42.360793601623094,,56.93681598939087,31.56357244843646
2020-02-21,,40.883186127002915,27.91337355490099,,50.517217197807874,27.91337355490099,,45.93408372987646,28.082675716002775,,56.750554401082844,32.490321123116985
2020-02-22,,52.7300539672176,44.93592214630057,,49.162078701293055,37.560230489127484,,51.58461110913874,32.95436796558568,,99.12278403409987,76.14765822603347
2020-02-23,,64.75524146656979,40.78152124248898,,54.60636156575159,35.12094760300107,,55.6943372340318,33.41448191024369,,78.70581629114676,22.924533172368992
2020-02-24,,76.5858138414956,38.16875105460493,,61.967026374141774,38.397648676773336,,61.10441055225897,32.89658994595506,,91.41309849175761,27.717670303068758
2020-02-25,,89.95969555100632,34.70158571868374,,76.9993614802216,34.17858350697586,,65.08465194938015,34.553342903759024,,123.8062245369446,14.227745768830479
2020-02-26,,108.68383726072075,32.45983367299497,,93.87236524201106,32.33615170521833,,74.54699816222997,36.087175480977145,,150.37126294965486,21.28156089467313
2020-02-27,,107.45555552069943,19.845772530322346,,99.02158800552569,29.695263142966024,,77.0277721167784,35.74481045914544,,92.98137533399326,13.077352512670373
2020-02-28,,97.52255401925223,19.076082369810685,,95.06305291735825,29.229420146274197,,72.79013505758306,28.703001509724913,,29.040808783910784,
2020-02-29,,99.04991790112588,12.190556849136591,,94.38643106456799,16.567405145330685,,70.03485671511224,26.10959848342014,,,0.17556822037238037
2020-03-01,,73.32988119951341,11.489103204399413,,84.75647463779264,14.650304814916147,,68.52179836823208,24.88562620895861,,20.926077730494715,11.421931189881759
2020-03-02,,45.919457762658745,11.699552615220274,,76.30921975620575,13.717919520730787,,68.58650024278668,26.057784098752055,,40.72956920223624,22.123358537956587
