date,r5_18,r5_19,r5_20,r7_18,r7_19,r7_20,r14_18,r14_19,r14_20,18,19,20
2020-01-01,,,,,,,,,,,49.42322064815235,27.575743073780536
2020-01-02,,,,,,,,,,,52.39360005484076,46.88588904539638
2020-01-03,,,,,,,,,,,58.123221163835225,98.15432350699759
2020-01-04,,,,,,,,,,,64.73677394347814,59.045609701283
2020-01-05,,54.05481159955127,55.46882271149366,,,,,,,,45.5972421874499,45.68254823001073
2020-01-06,,50.46471225277209,57.9404049391056,,,,,,,,31.472723914256406,39.933654211840306
2020-01-07,,48.77568344702041,62.159392140232356,,49.38503399115645,55.03694183147696,,,,,43.9484560260824,67.98082505103015
2020-01-08,,50.933209054645815,58.8490428190262,,52.168980927415014,62.75506094964643,,,,,68.91084920196226,81.60257690096685
2020-01-09,,50.38960919204335,59.30579943611499,,53.544005866790016,64.81841862697937,,,,,62.01877463046579,61.32939278672692
2020-01-10,,52.02485403059827,55.743546865899965,,52.9226123262742,54.7779846086848,,,,,53.77346638022451,27.87128537893561
2020-01-11,,60.69963150010468,58.330030891024855,,54.366874800318534,53.895193842425044,,,,,74.84661126178844,52.866074337464724
2020-01-12,,61.48949549050154,56.81574082731129,,54.695522484692354,55.99902619991813,,,,,47.897775978066704,60.40937473246231
2020-01-13,,57.150575082520355,60.84746559300349,,56.944597234378065,64.83153284528778,,,,,47.21624716205631,101.76120072942793
2020-01-14,,56.640857593022915,63.39983711590012,,59.16198739964896,65.70445075245634,,54.273510695402706,60.370696291966645,,59.470187182978634,74.09125040121002
2020-01-15,,60.43378541807075,70.69143232007998,,59.70873830014915,63.23683425229462,,55.93885961378208,62.995947600970524,,72.73810550546365,64.3292613998349
2020-01-16,,56.82961585216756,73.98448210812191,,58.9668795575501,64.37996717957284,,56.25544271217006,64.5991929032761,,56.82576343227246,69.33132327767441
2020-01-17,,60.18658020371892,70.45311340412148,,60.52532689406424,66.50585944150492,,56.72396961016921,60.641922025094864,,64.68259773582352,42.75253121246016
2020-01-18,,60.13780916563034,59.54947406708635,,56.54329556689639,65.70256368533171,,55.45508518360746,59.79887876387837,,46.97239197161341,47.243004044252224
2020-01-19,,57.67004917041021,48.59360643089409,,56.43381145672657,59.831497612158344,,55.56466697070947,57.915261906038225,,47.13138720687802,19.311912220248743
2020-01-20,,46.39410548094129,46.370815381153804,,52.02554572759268,52.89636981525915,,54.48507148098537,58.86395133027346,,16.358387058119067,53.215306151133525
2020-01-21,,44.41156257684354,40.63068840702366,,50.231668831707694,49.363889717600664,,54.696828115678315,58.16265335175372,,46.91304891178372,
2020-01-22,,44.20802355158917,39.923407471878164,,48.935496989434554,46.370815381153804,,54.322117644791845,56.20932638931928,,63.66490260955167,
2020-01-23,,43.88016804250482,41.98177926116974,,47.29368998856586,43.18817460804432,,53.13028477305797,55.55005360810262,,45.33311442619162,53.41811941212694
2020-01-24,,42.07657290168654,50.999341776399184,,43.498091955274866,43.9105883187397,,52.011709424669554,57.09116314035274,,38.11341150278661,46.364599765937086
2020-01-25,,51.702397871010476,49.85636188631855,,46.00025194572135,44.419260806067584,,51.27177375630887,56.83452081897166,,64.48751190473877,49.78636648089162
2020-01-26,,52.98240196882064,47.327050399774514,,46.88334940200085,48.50470155004631,,51.65858042936371,55.111999252945,,53.31306940083449,39.73911594014239
2020-01-27,,48.57916185676517,48.21398434815421,,50.496251543594454,48.21398434815421,,51.26089863559356,50.94537587063209,,41.648702049274355,51.76172014167301
2020-01-28,,45.77609201557751,46.73666640087182,,48.26835387337584,47.850241902747676,,49.25001135254177,48.60706581017416,,31.31776522025335,46.03152967571498
2020-01-29,,47.691762143775236,56.3461955433461,,45.70226241734653,54.50195669925636,,47.44323487924009,51.11398115004696,,,94.41224547830846
2020-01-30,,40.8834696637652,61.388615575567336,,44.355800343764365,57.58486344638077,,45.9377409217344,51.58624309707391,,37.2543419846986,74.9984666419978
2020-01-31,,37.51283681873107,65.10666157933208,,44.64198809674959,59.294112902527786,,44.0260440205709,52.88431099261607,,39.830538020697965,58.32934595896618
2020-02-01,,33.38101101239826,64.77050436326316,,38.080969249950314,59.33619398544732,,42.345198393827026,53.12080516070575,,25.12139882394313,50.08093406132837
2020-02-02,,33.190889444713186,64.07442890221901,,34.28833750806341,59.737913475497585,,41.070266989414336,55.05740850655955,,30.55727894951303,42.55115237049429
2020-02-03,,33.84828512019926,56.83235906534311,,33.4265318035416,60.65793864010558,,42.61791935587776,55.472957685125834,,36.477867822143544,58.201896293928925
2020-02-04,,38.82746783637188,53.57806598107773,,38.565280194426336,62.47157743224212,,43.790012175399156,55.723268726321606,,62.150255565561736,58.72700122067087
2020-02-05,,45.75361649092404,53.6403173606512,,43.693280351430964,57.36134277203143,,44.620502843391996,55.93164973564388,,74.46128129345873,58.64060285683359
2020-02-06,,54.747735468791326,54.674475290120974,,48.38437345551396,54.54037949584277,,46.52503201932184,56.06262147111177,,70.0919937132796,55.25172370867719
2020-02-07,,62.649807722253776,54.670694379338556,,52.70395948353215,52.28365118978791,,48.98304961270942,55.788882046157845,,70.06764021682524,42.5322478165822
2020-02-08,,68.6265600450771,51.52614516557126,,58.59542099957743,51.19768207032564,,49.127212499749525,55.266938027886475,,66.36162943626017,42.47915022509241
2020-02-09,,66.60269672364647,46.91634984021952,,61.66308671513396,50.215806673671054,,49.02858708110139,54.97686007458431,,52.03093895840868,35.67802459391216
2020-02-10,,58.11764353293637,43.98528658606599,,61.0285363605289,48.884791736961404,,48.28914964191937,55.224178530962114,,32.03601533990815,
2020-02-11,,54.03318516927951,49.224389170521235,,59.24560012187654,51.798313874599295,,49.70083707843799,57.54545579025312,,49.66970189499531,76.20813404649819
2020-02-12,,51.309378566503256,43.80122529024543,,56.672360966088725,45.49814544770686,,50.18282065875985,51.88602093003548,,56.448607202943954,20.839592295478983
2020-02-13,,50.80550624281163,44.51356788081461,,55.779542981020505,43.84427826082217,,52.08195821826724,49.603717387371724,,63.84226781780206,45.32852058736912
2020-02-14,,51.97536697397658,46.373363951010944,,54.038486180650246,43.94177177050806,,53.3712228320912,48.43355299627414,,57.88024261423342,43.11720887469751
2020-02-15,,56.39048770120835,45.05443537275329,,52.288484686336936,43.49170024294644,,55.4419528429572,47.64107507307371,,54.11161897606701,39.778721059722656
2020-02-16,,57.30205195719951,35.268504948328555,,52.60228243155729,42.09177646469016,,57.13268457334563,46.46625426952603,,54.22752317495114,27.27848192437452
2020-02-17,,55.68021973841441,39.208846925566846,,54.93134397000161,41.870280138544494,,57.979940165265255,45.10774703012152,,48.339446109018404,40.54130218167046
2020-02-18,,50.81448612051694,42.33329556512716,,53.480472231904386,39.6906558154977,,56.36303617689047,45.278805688929204,,39.51359972831471,60.95076378517067
2020-02-19,,47.45106900696209,44.367409271327105,,51.28255078097799,44.32611083124316,,53.97745587353336,44.867049884995645,,41.0631570464592,53.28777740569724
2020-02-20,,41.50759969601269,47.27448781990488,,45.64712286719483,45.609767004849225,,50.71333292410767,44.794926046067516,,24.39427242131997,54.31411380261152
2020-02-21,,41.75697430610269,53.850129840139495,,45.30343052593308,48.04397888354209,,49.670958353291674,46.15065252368023,,55.47439622540114,60.156692025547535
2020-02-22,,43.71882131911205,56.938416771217476,,45.880153697075684,50.358838280304624,,49.08431919170632,47.189389955370075,,58.14868117406526,55.982736837060415
2020-02-23,,48.26657275155913,52.84809371969975,,47.026558513589826,52.24750493790571,,49.81442047257356,47.56024564257545,,62.2523568905501,40.499148527582065
2020-02-24,,46.54332142344522,53.88285395345939,,44.75619484171428,54.80754442259498,,49.84376940585795,48.33891228056974,,32.44690040588963,58.461578574495455
2020-02-25,,54.57001938520774,50.25565610082623,,48.32964662768826,51.26859595891998,,50.905059429796324,45.47962588720885,,64.52776223013257,36.178124539445655
2020-02-26,,56.638765521234255,46.11854369609207,,51.86607089327033,49.29478918694563,,51.57431083712417,46.810450009094396,,65.8181269055337,39.47113000187675
2020-02-27,,59.30075214600173,43.05623146489021,,58.58954830421072,47.34579802672272,,52.11833558570278,46.47778251578597,,71.45861429790266,40.67117568105111
2020-02-28,,65.36857352610572,43.5440016920014,,63.891986527877705,44.88598483209279,,54.597708526905386,46.46498185781743,,92.59146379107,42.93799966313803
2020-02-29,,73.59899180615973,37.65873873288221,,64.84920408684644,41.03634582378409,,54.63510003081603,45.69759205204435,,,29.035263778899555
2020-03-01,,73.78125543639298,34.8837090332832,,65.34994739693236,38.43689261147959,,55.483507228978674,45.34219877469264,,65.25681675106557,22.30297604145056
2020-03-02,,67.95760927455855,31.721240436903763,,67.02938770565008,33.46506524654875,,55.03613000968464,44.13630483457185,,42.52354225819595,23.65878701997957
2020-03-03,,61.38683367813944,29.293974199180894,,63.80401265266568,32.373168096976045,,55.47166171613939,41.82088202794802,,45.175511912226234,28.534844492436747
2020-03-04,,51.326557532358564,31.106835849538584,,61.55938470306782,34.163336370268865,,56.33990803625378,41.72906277860725,,52.35035920794648,52.00230791492648
2020-03-05,,50.04983183695937,35.51000050264218,,57.14010382931114,35.646180850749786,,57.920573931180144,41.49598943873625,,44.942929055362576,51.05108704441752
